Match,Teams,Result
2020/1/13 IG VS FPX,FunPlus Phoenix,1
2020/1/13 IG VS FPX,Invictus Gaming,2
2020/1/13 LNG VS LGD,LGD Gaming,1
2020/1/13 LNG VS LGD,LNG Esports,2
2020/1/14 ES VS RW,eStar,2
2020/1/14 ES VS RW,Rogue Warriors,0
2020/1/14 OMG VS JDG,JD Gaming,2
2020/1/14 OMG VS JDG,Oh My God,0
2020/1/15 IG VS DMO,Dominus Esports,0
2020/1/15 IG VS DMO,Invictus Gaming,2
2020/1/15 VG VS BLG,Bilibili Gaming,2
2020/1/15 VG VS BLG,Vici Gaming,1
2020/1/16 RW VS SN,Rogue Warriors,2
2020/1/16 RW VS SN,Suning,0
2020/1/16 V5 VS EDG,EDward Gaming,2
2020/1/16 V5 VS EDG,Victory Five,0
2020/1/17 FPX VS ES,eStar,2
2020/1/17 FPX VS ES,FunPlus Phoenix,1
2020/1/17 LNG VS TES,LNG Esports,0
2020/1/17 LNG VS TES,Top Esports,2
2020/1/18 BLG VS RNG,Bilibili Gaming,2
2020/1/18 BLG VS RNG,Royal Never Give Up,1
2020/1/18 JDG VS WE,JD Gaming,2
2020/1/18 JDG VS WE,Team WE,0
2020/1/19 EDG VS TES,EDward Gaming,1
2020/1/19 EDG VS TES,Top Esports,2
2020/1/19 VG VS DMO,Dominus Esports,1
2020/1/19 VG VS DMO,Vici Gaming,2
2020/10/10 FNC VS LGD,Fnatic,1
2020/10/10 FNC VS LGD,LGD Gaming,0
2020/10/10 FNC VS TSM,Fnatic,1
2020/10/10 FNC VS TSM,TSM,0
2020/10/10 GEN VS FNC,Fnatic,0
2020/10/10 GEN VS FNC,Gen.G,1
2020/10/10 LGD VS GEN,Gen.G,1
2020/10/10 LGD VS GEN,LGD Gaming,0
2020/10/10 LGD VS TSM,LGD Gaming,1
2020/10/10 LGD VS TSM,TSM,0
2020/10/10 TSM VS GEN,Gen.G,1
2020/10/10 TSM VS GEN,TSM,0
2020/10/11 DRX VS UOL,DRX,1
2020/10/11 DRX VS UOL,Unicorns Of Love.CIS,0
2020/10/11 FLT VS DRX,DRX,1
2020/10/11 FLT VS DRX,FlyQuest,0
2020/10/11 TES VS FLY,FlyQuest,1
2020/10/11 TES VS FLY,Top Esports,0
2020/10/11 UOL VS FLY,DRX,0
2020/10/11 UOL VS FLY,FlyQuest,1
2020/10/11 UOL VS FLY,Top Esports,1
2020/10/11 UOL VS FLY,Unicorns Of Love.CIS,0
2020/10/11 UOL VS TES,Top Esports,1
2020/10/11 UOL VS TES,Unicorns Of Love.CIS,0
2020/10/15 DWG VS DRX,DAMWON Gaming,3
2020/10/15 DWG VS DRX,DRX,0
2020/10/16 SN VS JDG,JD Gaming,1
2020/10/16 SN VS JDG,Suning,3
2020/10/17 TES VS FNC,Fnatic,2
2020/10/17 TES VS FNC,Top Esports,3
2020/10/18 GEN VS G2,G2 Esports,3
2020/10/18 GEN VS G2,Gen.G,0
2020/10/24 G2 VS DWG,DAMWON Gaming,3
2020/10/24 G2 VS DWG,G2 Esports,1
2020/10/25 TES VS SN,Suning,3
2020/10/25 TES VS SN,Top Esports,1
2020/10/3 DWG VS JDG,DAMWON Gaming,1
2020/10/3 DWG VS JDG,JD Gaming,0
2020/10/3 FLY VS TES,FlyQuest,0
2020/10/3 FLY VS TES,Top Esports,1
2020/10/3 GEN VS LGD,Gen.G,1
2020/10/3 GEN VS LGD,LGD Gaming,0
2020/10/3 RGE VS PSG,PSG Talon,0
2020/10/3 RGE VS PSG,Rogue,1
2020/10/3 TSM VS FNC,Fnatic,1
2020/10/3 TSM VS FNC,TSM,0
2020/10/3 UOL VS DRX,DRX,1
2020/10/3 UOL VS DRX,Unicorns Of Love.CIS,0
2020/10/31 DWG VS SN,DAMWON Gaming,3
2020/10/31 DWG VS SN,Suning,1
2020/10/4 G2 VS SN,G2 Esports,1
2020/10/4 G2 VS SN,Suning,0
2020/10/4 GEN VS TSM,Gen.G,1
2020/10/4 GEN VS TSM,TSM,0
2020/10/4 LGD VS FNC,Fnatic,0
2020/10/4 LGD VS FNC,LGD Gaming,1
2020/10/4 MCX VS TL,Machi Esports,1
2020/10/4 MCX VS TL,Team Liquid,0
2020/10/4 PSG VS JDG,JD Gaming,1
2020/10/4 PSG VS JDG,PSG Talon,0
2020/10/4 RGE VS DWG,DAMWON Gaming,1
2020/10/4 RGE VS DWG,Rogue,0
2020/10/5 DWG VS PSG,DAMWON Gaming,1
2020/10/5 DWG VS PSG,PSG Talon,0
2020/10/5 FLT VS UOL,FlyQuest,1
2020/10/5 FLT VS UOL,Unicorns Of Love.CIS,0
2020/10/5 JDG VS RGE,JD Gaming,1
2020/10/5 JDG VS RGE,Rogue,0
2020/10/5 MCX VS G2,G2 Esports,1
2020/10/5 MCX VS G2,Machi Esports,0
