Competition,Rank,Player,Team,Position,Game_Num,KDA,KP,Kills,Most_Kills,Deaths,Most_Deaths,Assists,名次,选手?,Most_Assits,GPM,CSPM,DPM,DMG_Pct,DTPM,DTPM_Pct,WPM,WCPM
2020 LPL Spring,1,Karsa,TES,Jug,50,3.4,0.668,2.4,7,2.9,10,7.6,1,Karsa,22,324,5.11,255,0.123,775,0.285,0.7,0.36
2020 LPL Spring,2,Tian,FPX,Jug,50,4,0.696,2.7,8,2.6,9,7.7,2,Tian,18,323,5.03,231,0.129,751,0.284,0.63,0.43
2020 LPL Spring,3,beishang,WE,Jug,49,4.6,0.769,2.7,9,2.3,7,8.2,3,beishang,23,340,5.45,302,0.161,771,0.271,0.53,0.43
2020 LPL Spring,4,Kanavi,JDG,Jug,44,6,0.746,3.7,9,1.8,6,6.9,4,Kanavi,16,364,6.14,338,0.177,825,0.321,0.43,0.54
2020 LPL Spring,5,Meteor,BLG,Jug,42,3.6,0.746,2,8,2.4,7,6.7,5,Meteor,18,322,5.38,250,0.133,788,0.296,0.74,0.51
2020 LPL Spring,6,XLB,RNG,Jug,42,3.2,0.69,2.3,9,2.8,9,6.7,6,XLB,16,303,4.78,222,0.128,710,0.283,0.69,0.47
2020 LPL Spring,7,SofM,SN,Jug,41,3.3,0.766,1.8,6,3.2,9,8.8,7,SofM,19,315,5.27,263,0.127,872,0.297,1.1,0.59
2020 LPL Spring,8,Xx,LNG,Jug,41,2.5,0.658,2,7,3,6,5.4,8,Xx,16,306,4.91,224,0.124,763,0.281,0.6,0.42
2020 LPL Spring,9,Wei,ES,Jug,41,4.6,0.764,2.6,9,2.8,6,10.1,9,Wei,23,319,4.51,292,0.139,811,0.288,0.74,0.57
2020 LPL Spring,10,Peanut,LGD,Jug,38,3.7,0.752,3.3,10,2.7,8,6.4,10,Peanut,17,337,5.54,297,0.151,822,0.273,0.51,0.47
2020 LPL Spring,11,H4cker,OMG,Jug,38,3.2,0.712,1.6,7,2.3,6,5.8,11,H4cker,16,321,5.55,217,0.123,744,0.283,0.45,0.39
2020 LPL Spring,12,JunJia,EDG,Jug,32,3.4,0.73,1.7,5,2.9,7,8,12,JunJia,17,296,4.5,225,0.127,776,0.304,0.5,0.45
2020 LPL Spring,13,Xiaopeng,TT,Jug,31,3.2,0.743,2.5,9,3,6,7.3,13,Xiaopeng,19,325,5.21,244,0.137,790,0.29,0.65,0.53
2020 LPL Spring,14,Aix,RA,Jug,31,4.1,0.69,2.6,8,2.2,6,6.4,14,Aix,11,329,5.51,280,0.147,834,0.289,0.48,0.43
2020 LPL Spring,15,Leyan,IG,Jug,31,2.7,0.586,3.1,8,3.3,6,5.9,15,Leyan,13,344,5.49,280,0.128,846,0.316,0.69,0.52
2020 LPL Spring,16,Haro,RW,Jug,26,3.7,0.759,4.5,15,2.9,8,6.1,16,Haro,20,346,5.5,346,0.179,767,0.257,0.52,0.38
2020 LPL Spring,17,Xiaohan,V5,Jug,22,1.5,0.729,2,6,4.1,8,4,17,Xiaohan,11,305,4.89,247,0.141,778,0.264,0.53,0.26
2020 LPL Spring,18,Jiejie,EDG,Jug,17,7.5,0.759,2.5,7,1.4,3,8.1,18,Jiejie,20,325,4.89,233,0.144,714,0.295,0.55,0.39
2020 LPL Spring,19,Ning,IG,Jug,15,2.6,0.603,2,4,3.6,7,7.5,19,Ning,18,318,5.12,234,0.094,935,0.314,0.49,0.42
2020 LPL Spring,20,WeiYan,RW,Jug,14,2.7,0.721,2.6,10,3.7,7,7.5,20,WeiYan,16,315,4.69,236,0.128,876,0.31,0.67,0.36
