Competition,Rank,Team,KDA,Kills,Deaths,DPM,First_Blood_Rate,Game_Time,Gold_Per_Match,GPM,CSPM,Dragons,Dragon_Rate,Barons,Baron_Rate,WPM,WCPM,VSPM,Towers,Towers_Opp
2019 LPL Spring,1,FPX,4.7,14.2,9.9,1708,0.723,31:37:00,58995,1865,32.8,2.3,0.573,0.9,0.694,3.47,1.4,0.421,7.3,3.9
2019 LPL Spring,2,BLG,4.4,13.7,10.8,1985,0.486,35:33:00,64329,1809,32.3,2.2,0.506,0.8,0.554,3.66,1.7,0.497,7,5.3
2019 LPL Spring,3,TES,3.9,12.3,10.4,1787,0.596,32:18:00,58833,1820,33.2,2.3,0.608,0.7,0.54,3.18,1.6,0.471,6.9,5.1
2019 LPL Spring,4,IG,3.9,17.5,14.4,2244,0.333,31:11:00,59002,1891,32.1,2,0.522,0.9,0.638,2.97,1.3,0.4,7.3,4.5
2019 LPL Spring,5,EDG,3.7,12.4,11.4,1824,0.564,35:02:00,62277,1777,32,2.5,0.58,0.6,0.442,3.32,1.6,0.47,6.3,6
2019 LPL Spring,6,RNG,3.6,13.8,12.8,1818,0.6,32:04:00,58384,1819,32,2.1,0.539,0.7,0.519,3.6,1.6,0.454,6.5,5.2
2019 LPL Spring,7,WE,3.6,13.1,12.2,1824,0.59,32:31:00,59701,1835,33.2,2.5,0.6,0.6,0.469,3.33,1.5,0.452,6.2,5.4
2019 LPL Spring,8,TT,3.5,12.4,12.2,1766,0.561,33:08:00,59641,1799,32.4,2.3,0.549,0.8,0.589,3.16,1.5,0.456,6.6,5.7
2019 LPL Spring,9,SN,3.2,12.6,13.1,1888,0.405,35:03:00,63277,1804,33.1,2,0.462,0.5,0.358,3.61,1.5,0.437,5.8,6.2
2019 LPL Spring,10,JDG,3.1,12.3,13.8,1810,0.482,32:19:00,57927,1792,31.8,1.9,0.462,0.8,0.536,3.43,1.3,0.408,6,6.2
2019 LPL Spring,11,LGD,2.9,11.9,13.3,1830,0.5,33:11:00,58820,1771,31.8,2.1,0.497,0.6,0.451,3.07,1.5,0.447,6.1,6.6
2019 LPL Spring,12,V5,2.9,12.4,14.4,1695,0.528,33:09:00,58604,1767,31.4,1.8,0.452,0.6,0.435,3.08,1.5,0.448,5.2,6.9
2019 LPL Spring,13,RA,2.8,10.2,12.8,1732,0.475,34:17:00,59664,1739,32.1,1.4,0.345,0.7,0.441,3.22,1.6,0.471,4.7,7.3
2019 LPL Spring,14,LNG,2.7,10.3,12.8,1722,0.474,32:38:00,56918,1743,32.7,1.7,0.442,0.6,0.447,3.44,1.4,0.416,4.8,7.3
2019 LPL Spring,15,OMG,2.6,11.3,14.4,1643,0.25,31:55:00,55574,1740,31.8,1.6,0.399,0.5,0.37,3.14,1.2,0.379,4.1,7.9
2019 LPL Spring,16,RW,2.5,10.7,14.5,1694,0.333,31:59:00,55787,1743,31.8,1.7,0.418,0.5,0.386,3.5,1.2,0.393,4,7.5
2019 LCK Spring,1,GRF,6.5,13.4,6.5,1690,0.762,32:54:00,63158,1919,36.7,2.3,0.565,0.7,0.63,3.9,1.8,0.456,7.4,3.2
2019 LCK Spring,2,T1,4.8,12.2,8.3,1807,0.66,34:43:00,64998,1871,35.6,2.8,0.603,0.8,0.639,4.44,1.8,0.434,7.6,4
2019 LCK Spring,3,DRX,4.3,13,10.1,1811,0.533,34:03:00,63503,1864,34.2,2.6,0.575,0.8,0.607,4.17,1.9,0.483,7,5.1
2019 LCK Spring,4,DK,3.5,11.3,11.2,1754,0.312,33:42:00,62143,1843,35.1,2.4,0.565,0.7,0.557,3.9,1.8,0.445,6.3,5.3
2019 LCK Spring,5,LSB,3.4,11,10.6,1814,0.489,34:22:00,63641,1850,35.4,2.9,0.657,0.9,0.651,3.98,2,0.493,7.3,4.2
2019 LCK Spring,6,HLE,3.1,9.4,10.6,1560,0.39,33:01:00,58330,1766,33.6,2.1,0.483,0.7,0.604,4.12,1.8,0.446,5.5,6
2019 LCK Spring,7,GEN,2.9,8.6,10.5,1532,0.477,35:22:00,61966,1752,34.1,1.9,0.419,0.5,0.375,4.14,1.9,0.467,5,7.1
2019 LCK Spring,8,KT,2.5,10.2,13.6,1668,0.429,34:58:00,60425,1728,33,1.6,0.379,0.5,0.385,3.64,1.7,0.427,4.4,7.3
2019 LCK Spring,9,AF,2.4,9.8,13.8,1620,0.488,34:47:00,59323,1705,32.4,2,0.453,0.5,0.349,4.15,1.8,0.441,4.3,7
2019 LCK Spring,10,JAG,1.7,6.6,12,1416,0.447,33:41:00,55265,1640,33.1,1,0.228,0.2,0.133,3.78,1.6,0.416,2.1,9.3
2019 MSI,1,T1,4.7,14.5,9.6,1917,0.6,29:17:00,55206,1885,33.9,2.7,0.656,0.7,0.625,4.39,1.8,0.478,6.7,4.1
2019 MSI,2,IG,3.4,18.1,15.9,2216,0.429,32:05:00,61745,1924,32.9,1.9,0.474,1.1,0.714,3.23,1.5,0.417,7.7,4.9
2019 MSI,3,G2,3.2,14.8,14.7,1903,0.444,29:55:00,55633,1859,32.5,1.8,0.471,0.6,0.55,3.76,1.7,0.454,6.4,4.8
2019 MSI,4,FW,3,11.2,13.1,1539,0.5,33:19:00,57670,1730,32.9,1.7,0.386,0.5,0.312,3.75,1.4,0.392,3.6,7.7
2019 MSI,5,TL,2.8,11.6,13.9,1610,0.353,30:05:00,52710,1752,32.4,1.9,0.5,0.5,0.421,3.47,1.5,0.405,4.9,6.6
2019 MSI,6,SGB,2.2,12.4,17.3,1679,0.7,31:02:00,54430,1753,32.7,1.8,0.474,0.4,0.286,3.62,1.5,0.414,4.2,7.8
2019 LPL Summer,1,FPX,5.4,18.1,10.5,1957,0.585,31:53:00,61773,1937,32.8,3,0.713,1.1,0.786,3.62,1.7,0.475,8.5,3.4
2019 LPL Summer,2,RNG,4.7,14.7,10.5,1767,0.66,33:36:00,60917,1812,32.1,2.4,0.55,0.7,0.517,3.91,1.8,0.511,7,4.7
2019 LPL Summer,3,TES,4.2,13.2,10.4,1908,0.452,30:37:00,56106,1832,31.9,2.3,0.556,0.7,0.564,3.2,1.5,0.455,6.9,4.3
2019 LPL Summer,4,EDG,4.2,13.6,10.9,1815,0.727,31:45:00,57752,1818,31.7,2.5,0.577,0.7,0.526,3.57,1.8,0.512,6.5,5
2019 LPL Summer,5,BLG,3.7,12.8,11.6,1952,0.319,33:03:00,60000,1814,32.5,2,0.478,0.8,0.554,3.67,1.8,0.496,6.4,5.3
2019 LPL Summer,6,LNG,3.5,14.1,13.1,1805,0.349,34:36:00,62999,1820,32.6,2.4,0.536,0.9,0.625,3.58,1.8,0.487,6.6,6.1
